0,3.2974
1,3.2402
2,3.1865
3,3.1463
4,3.0997
5,3.0541
6,3.0367
7,3.0156
8,2.9677
9,2.9307
10,2.9092
11,2.9029
12,2.8578
13,2.8645
14,2.8406
15,2.8123
16,2.8482
17,2.7942
18,2.7740
19,2.7973
20,2.7721
21,2.7481
22,2.7261
23,2.7135
24,2.7338
25,2.6993
26,2.7363
27,2.6907
28,2.7319
29,2.6526
30,2.7023
31,2.7087
32,2.7022
33,2.6583
34,2.6547
35,2.6777
36,2.6638
37,2.6609
38,2.6646
39,2.6648
40,2.6559
41,2.6406
42,2.6199
43,2.5969
44,2.6037
45,2.6419
46,2.5995
47,2.6081
48,2.5894
49,2.5906
50,2.6369
51,2.6483
52,2.5966
53,2.6484
54,2.6114
55,2.6298
56,2.5635
57,2.5939
58,2.5164
59,2.5837
60,2.6123
61,2.5986
62,2.5226
63,2.6018
64,2.5754
65,2.6138
66,2.5585
67,2.5751
68,2.5825
69,2.6320
70,2.5717
71,2.5120
72,2.5226
73,2.5840
74,2.5996
75,2.5953
76,2.6184
77,2.5773
78,2.5858
79,2.5731
80,2.6220
81,2.5651
82,2.5519
83,2.5458
84,2.5500
85,2.4916
86,2.5142
87,2.5502
88,2.5102
89,2.5019
90,2.5467
91,2.5681
92,2.5459
93,2.4985
94,2.5559
95,2.5011
96,2.5604
97,2.5267
98,2.5504
99,2.5605
100,2.5046
101,2.5454
102,2.5420
103,2.5393
104,2.5411
105,2.5531
106,2.5621
107,2.5461
108,2.5176
109,2.5655
110,2.5612
111,2.5115
112,2.5611
113,2.5799
114,2.5232
115,2.5369
116,2.5447
117,2.4809
118,2.5070
119,2.5534
120,2.4866
121,2.5350
122,2.5296
123,2.5282
124,2.5094
125,2.4785
126,2.5250
127,2.4913
128,2.5181
129,2.5344
130,2.5645
131,2.4906
132,2.5661
133,2.5128
134,2.5420
135,2.5092
136,2.5067
137,2.5308
138,2.5076
139,2.4627
140,2.4818
141,2.5443
142,2.5335
143,2.5272
144,2.5297
145,2.5046
146,2.5009
147,2.5489
148,2.5508
149,2.5534
150,2.5421
151,2.5229
152,2.4403
153,2.4921
154,2.5521
155,2.5140
156,2.5120
157,2.5258
158,2.5144
159,2.5479
160,2.5253
161,2.5465
162,2.4847
163,2.4838
164,2.5291
165,2.5163
166,2.5766
167,2.5175
168,2.4861
169,2.5163
170,2.5221
171,2.4731
172,2.4899
173,2.5005
174,2.4980
175,2.5307
176,2.5506
177,2.5180
178,2.4617
179,2.5333
180,2.5103
181,2.4995
182,2.5366
183,2.5033
184,2.5535
185,2.4953
186,2.5461
187,2.5938
188,2.5435
189,2.4902
190,2.5224
191,2.5055
192,2.4602
193,2.4994
194,2.4996
195,2.4884
196,2.4927
197,2.5169
198,2.5109
199,2.4762
200,2.4835
201,2.4948
202,2.5273
203,2.4962
204,2.5430
205,2.4519
206,2.5167
207,2.5024
208,2.4786
209,2.4962
210,2.4464
211,2.5287
212,2.5222
213,2.4266
214,2.4869
215,2.4818
216,2.4685
217,2.5078
218,2.6009
219,2.5192
220,2.5148
221,2.5147
222,2.4420
223,2.5036
224,2.4804
225,2.5270
226,2.4618
227,2.4620
228,2.5161
229,2.5194
230,2.4981
231,2.4291
232,2.4481
233,2.4821
234,2.5126
235,2.4809
236,2.4962
237,2.4915
238,2.4916
239,2.4710
240,2.4806
241,2.5054
242,2.4768
243,2.4751
244,2.4473
245,2.4986
246,2.4954
247,2.4360
248,2.4903
249,2.4750
250,2.5334
251,2.4150
252,2.5245
253,2.5128
254,2.5276
255,2.4379
256,2.5228
257,2.4929
258,2.4983
259,2.5122
260,2.5112
261,2.4921
262,2.5016
263,2.4918
264,2.4551
265,2.4323
266,2.4996
267,2.4799
268,2.4434
269,2.4738
270,2.4620
271,2.4533
272,2.5255
273,2.5384
274,2.4719
275,2.5156
276,2.5352
277,2.4817
278,2.4511
279,2.4596
280,2.4165
281,2.5176
282,2.4997
283,2.4674
284,2.4596
285,2.4930
286,2.4786
287,2.5154
288,2.4572
289,2.4924
290,2.5008
291,2.4993
292,2.4991
293,2.4131
294,2.4678
295,2.4957
296,2.5219
297,2.5025
298,2.5470
299,2.5073
300,2.5295
301,2.5267
302,2.5026
303,2.5081
304,2.4819
305,2.4788
306,2.4653
307,2.4344
308,2.4339
309,2.4834
310,2.4280
311,2.4614
312,2.4761
313,2.4909
314,2.4629
315,2.4302
316,2.5040
317,2.4494
318,2.4925
319,2.4813
320,2.4897
321,2.5227
322,2.4575
323,2.4663
324,2.4965
325,2.4994
326,2.4950
327,2.4859
328,2.5194
329,2.4680
330,2.4879
331,2.5052
332,2.4992
333,2.4849
334,2.5098
335,2.4896
336,2.5021
337,2.4952
338,2.4738
339,2.4060
340,2.4887
341,2.4954
342,2.4253
343,2.5297
344,2.4468
345,2.4786
346,2.4750
347,2.4202
348,2.4559
349,2.4881
350,2.4964
351,2.4588
352,2.5022
353,2.4949
354,2.5288
355,2.4513
356,2.4975
357,2.4757
358,2.4612
359,2.5039
360,2.4448
361,2.4146
362,2.4671
363,2.5023
364,2.4850
365,2.4791
366,2.4867
367,2.4909
368,2.4590
369,2.5412
370,2.4823
371,2.5251
372,2.4837
373,2.4870
374,2.4049
375,2.4748
376,2.5296
377,2.5007
378,2.4533
379,2.4652
380,2.5182
381,2.5162
382,2.5077
383,2.4776
384,2.4856
385,2.4275
386,2.5112
387,2.4989
388,2.5328
389,2.4680
390,2.4573
391,2.4988
392,2.5088
393,2.4301
394,2.4637
395,2.4599
396,2.4898
397,2.4960
398,2.5249
399,2.4881
400,2.4520
401,2.4865
402,2.4795
403,2.4712
404,2.5088
405,2.4816
406,2.5343
407,2.4721
408,2.5384
409,2.5551
410,2.5184
411,2.4689
412,2.4996
413,2.4715
414,2.4239
415,2.4934
416,2.4817
417,2.4630
418,2.4608
419,2.4907
420,2.5084
421,2.4121
422,2.5046
423,2.4704
